Scenario,Scheme,mean_delay_ms_mean,mean_delay_ms_std,p90_delay_ms_mean,p90_delay_ms_std,mean_uora_delay_ms_mean,mean_uora_delay_ms_std,collision_rate_mean,collision_rate_std,explicit_bsr_count_mean,explicit_bsr_count_std,implicit_bsr_ratio_mean,implicit_bsr_ratio_std,completion_rate_mean,completion_rate_std
Low,Baseline (R=Q),100.844316993865,1.28513672356642,231.075723152184,1.45700738245796,94.2646549693764,3.20942060044432,0.207004859466155,0.0115111073244311,1378.33333333333,22.6789182575654,0.782459719897759,0.00604543928155492,0.985968040882159,0.00149753206250274
Low,Scheme 1 (Fixed Reduction),126.005819518552,5.96326382019391,296.514490718543,10.3592271191056,117.560822619193,4.97287846942878,0.262484992514739,0.0074191692903386,1313.66666666667,32.0052079095471,0.882387513771253,0.00447566969724193,0.989935440428476,0.00438742037222084
Low,Scheme 2 (Proportional),120.63950757869,4.98151134002018,275.286097628207,12.2452653901644,113.63433024328,5.19582519563807,0.264914431576943,0.00689263369327498,1371,37.0270171631472,0.923534867250125,0.00265083213925738,0.988031933205769,0.00444490073395602
Low,Scheme 3 (EMA-based),100.844316993865,1.28513672356641,231.075723152184,1.45700738245796,94.2646549693764,3.20942060044432,0.207004859466155,0.0115111073244311,1378.33333333333,22.6789182575654,0.782459719897759,0.00604543928155492,0.985968040882159,0.00149753206250274
Mid,Baseline (R=Q),124.435422449017,8.67967045145763,289.50247910571,22.4759865500557,116.361820473003,7.04812164554982,0.260573999164946,0.0106377193724634,1325.66666666667,51.1891915674914,0.88155248074677,0.00589744114836396,0.991028000775364,0.00318753316518944
Mid,Scheme 1 (Fixed Reduction),118.374473304702,1.42328400615328,270.246820883943,3.28222159196233,111.258966501123,2.81846637130442,0.261395408244838,0.00734012186772296,1379.66666666667,56.6244941110588,0.923002339779052,0.00294491418807605,0.986612500668921,0.00594275065780628
Mid,Scheme 2 (Proportional),100.844316993865,1.28513672356641,231.075723152184,1.45700738245796,94.2646549693764,3.20942060044432,0.207004859466155,0.0115111073244311,1378.33333333333,22.6789182575654,0.782459719897759,0.00604543928155492,0.985968040882159,0.00149753206250274
Mid,Scheme 3 (EMA-based),124.435422449017,8.67967045145762,289.50247910571,22.4759865500557,116.361820473003,7.04812164554982,0.260573999164946,0.0106377193724634,1325.66666666667,51.1891915674914,0.88155248074677,0.00589744114836396,0.991028000775364,0.00318753316518944
High,Baseline (R=Q),117.759054383529,0.631445729820162,269.855945205653,0.0988663736292807,111.945255343483,1.82904654984469,0.262931437562752,0.00499990204682867,1371,36.6606055596467,0.923405204116081,0.00201451667432382,0.986055231372583,0.00174245350966615
High,Scheme 1 (Fixed Reduction),103.071466076054,5.2381154301026,234.836451948719,15.3950878690585,96.6205870083471,4.48115784788597,0.210122711154457,0.00990696530635165,1358,32.78719262151,0.785327399184296,0.00707736345142921,0.987997078141518,0.000616502980544001
High,Scheme 2 (Proportional),119.502035586748,2.729297641175,273.777319566435,7.63092130595786,110.709528345851,3.63250528062065,0.254132688047748,0.0120722718598832,1365.66666666667,21.0792156716832,0.878236854289209,0.00454716730087675,0.989466581980342,0.00241069350527792
High,Scheme 3 (EMA-based),119.622166741916,6.23227785236829,276.786916397684,18.0100894845724,114.382200671289,5.92904697384911,0.252127608383831,0.00587188587032185,1317.33333333333,41.7891532976361,0.926244150277322,0.00291135793217485,0.987141893170699,0.00506898002387145
