Scenario,L_cell,Scheme,mean_delay_ms_mean,mean_delay_ms_std,std_delay_ms_mean,std_delay_ms_std,p90_delay_ms_mean,p90_delay_ms_std,p99_delay_ms_mean,p99_delay_ms_std,mean_uora_delay_ms_mean,mean_uora_delay_ms_std,mean_sched_delay_ms_mean,mean_sched_delay_ms_std,mean_overhead_delay_ms_mean,mean_overhead_delay_ms_std,mean_frag_delay_ms_mean,mean_frag_delay_ms_std,explicit_bsr_count_mean,explicit_bsr_count_std,implicit_bsr_count_mean,implicit_bsr_count_std,implicit_bsr_ratio_mean,implicit_bsr_ratio_std,buffer_empty_ratio_mean,buffer_empty_ratio_std,collision_rate_mean,collision_rate_std,success_rate_mean,success_rate_std,throughput_mbps_mean,throughput_mbps_std,completion_rate_mean,completion_rate_std,jain_index_mean,jain_index_std
Low,0.15,v0: Baseline (R=Q),92.3913403206622,4.5310620857675,92.9478732972666,7.2379835950523,214.998093668485,11.6797229483078,435.280659816868,47.6726246657165,85.4300245567617,2.32865821771323,0.280000000000057,2.76503985817133e-14,0.015999999999929,7.55601531621634e-15,0,0,1353.2,29.4233467391684,4963.6,102.337350626901,0.785729467970254,0.00588137648645389,0.386939357843811,0.0050699855387892,0.176466109898362,0.00310166745082517,0.267279356774831,0.00676507221995989,7.94288233522846,0.163762900823695,0.990519947410398,0.00295752003066789,0.975308150114018,0.0078576208675752
Low,0.15,v1: Fixed Reduction,105.118176710918,6.32475019291514,104.664384381207,7.10627955963537,238.937888419306,15.9768097461262,490.131033025164,42.0318348508135,98.8109243290327,5.39274869310129,0.280000000000063,1.98756624233526e-14,0.0159999999999282,7.79617810354929e-15,0,0,1377.9,28.7883078117952,9858.6,468.112569557556,0.877156517046674,0.00638237618137443,0.272252594365239,0.0259521303155854,0.222338602536208,0.011559524772396,0.283903805112813,0.00532330912842066,15.7759891590949,0.749085957699475,0.989794638055226,0.00289522516172447,0.981368845926612,0.00813588691320746
Low,0.15,v2: Proportional,104.0959479034,3.08954221318193,101.775209454243,4.99819856602805,239.955019423112,9.01431315469253,468.725990732202,34.5792478920856,98.1270070609531,3.61271864987894,0.280000000000069,1.94465087304557e-14,0.0159999999999313,7.84480404442401e-15,0,0,1363.7,26.3651706275955,16314.4,768.858201057473,0.922696801811944,0.00442615989944753,0.237270170057091,0.0242048029882416,0.216645076268294,0.00651107462896915,0.279021630975344,0.00553979400503351,26.1067289003649,1.23034697064125,0.989437317608607,0.00397503411309907,0.967164223930013,0.0113327630803872
Low,0.15,v3: EMA-based,92.3913403206622,4.5310620857675,92.9478671107837,7.23798897273941,214.998093668485,11.6797229483078,435.280659816868,47.6726246657165,85.4300245567617,2.32865821771323,0.280000000000057,2.76503985817133e-14,0.015999999999929,7.55601531621634e-15,0,0,1353.2,29.4233467391684,4963.6,102.337350626901,0.785729467970254,0.00588137648645389,0.386939357843811,0.0050699855387892,0.176466109898362,0.00310166745082517,0.267279356774831,0.00676507221995989,7.94288233522846,0.163762900823695,0.990519947410398,0.00295752003066789,0.975308150114018,0.0078576208675752
Mid,0.3,v0: Baseline (R=Q),103.992880498647,6.39013608503799,103.600591149989,7.07101069524897,238.702842453238,14.6511061380826,480.525316329462,45.9859835810136,97.7094512227498,5.38491670523227,0.280000000000067,2.13734993428335e-14,0.0159999999999268,6.78493507482677e-15,0,0,1389.7,29.821878620309,9866.2,457.52566412534,0.876327901710725,0.00633413129662526,0.274570948655084,0.0254230410324284,0.221063327957383,0.011553427614153,0.28660760699343,0.00561327912952049,15.7881508775548,0.732144515169398,0.990604350575865,0.0037994683128271,0.981494472193059,0.00833374342947811
Mid,0.3,v1: Fixed Reduction,104.699700277906,4.20774614883766,102.831348515213,6.67153170461069,242.13049982033,11.43565909154,472.183880409667,45.4485459546695,97.817748022341,2.34248466053585,0.280000000000061,2.13881759514297e-14,0.0159999999999288,8.73567236445641e-15,0,0,1373.6,15.9038779338039,16332.5,748.267220539116,0.922302366374135,0.00327469273926823,0.237306549002558,0.0246191891445269,0.217551182348398,0.00828609878258385,0.281736783655871,0.00466152004626393,26.1356929930129,1.19739674592043,0.990589817940779,0.00427380331702659,0.967163246652354,0.0115879522229511
Mid,0.3,v2: Proportional,92.3913403206622,4.5310620857675,92.9478671107837,7.23798897273941,214.998093668485,11.6797229483078,435.280659816868,47.6726246657165,85.4300245567617,2.32865821771323,0.280000000000057,2.76503985817133e-14,0.015999999999929,7.55601531621634e-15,0,0,1353.2,29.4233467391684,4963.6,102.337350626901,0.785729467970254,0.00588137648645389,0.386939357843811,0.0050699855387892,0.176466109898362,0.00310166745082517,0.267279356774831,0.00676507221995989,7.94288233522846,0.163762900823695,0.990519947410398,0.00295752003066789,0.975308150114018,0.0078576208675752
Mid,0.3,v3: EMA-based,103.992880498647,6.39013608503799,103.600544224449,7.07095485334068,238.702842453238,14.6511061380826,480.525316329462,45.9859835810136,97.7094512227498,5.38491670523227,0.280000000000067,2.13734993428335e-14,0.0159999999999268,6.78493507482677e-15,0,0,1389.7,29.821878620309,9866.2,457.52566412534,0.876327901710725,0.00633413129662526,0.274570948655084,0.0254230410324284,0.221063327957383,0.011553427614153,0.28660760699343,0.00561327912952049,15.7881508775548,0.732144515169398,0.990604350575865,0.0037994683128271,0.981494472193059,0.00833374342947811
High,0.5,v0: Baseline (R=Q),105.336016118869,5.67823409340096,104.315943701101,8.27190325611818,244.750685041058,14.8206788958062,476.873356864792,47.4904938836948,98.1235542657555,4.31762730037907,0.280000000000056,1.53124603611607e-14,0.0159999999999266,4.27707613127361e-15,0,0,1369.9,30.0682556860221,16296.6,765.787495907898,0.922303785548685,0.00435504258461997,0.237669339545493,0.0253640158885809,0.217907936959787,0.0100948273611108,0.280876587702943,0.00660595382811176,26.0782448755508,1.22543314807512,0.988359551007527,0.00320416845995549,0.967290738467937,0.0113837439749503
High,0.5,v1: Fixed Reduction,89.070540912137,2.83391762144597,88.1116984731947,4.15162905056318,203.066826247439,5.61338785591997,405.445759928307,34.257371591319,83.2804770909225,2.39953837169661,0.280000000000049,2.59927767233926e-14,0.0159999999999247,9.02663767721316e-15,0,0,1376.5,22.3668902124944,4965.5,96.9091785585292,0.782919410627108,0.0042155413079861,0.390994175074382,0.00851218962570689,0.173546316472529,0.00496276813182661,0.272260192595377,0.00518532115739165,7.94592276484344,0.155076598133218,0.99091824676525,0.0027474059607011,0.975701777427294,0.00768881793212701
High,0.5,v2: Proportional,103.153858504776,6.26543993611156,101.434183012623,8.43010771194533,237.252152586149,15.6079320638052,462.409006722269,43.0684469705363,98.2314034020649,4.49431358788705,0.28000000000005,1.49677687171451e-14,0.0159999999999243,3.80787305846821e-15,0,0,1373.3,26.9734437302074,9844.4,446.716216157168,0.877381608859897,0.00603013111592007,0.271450718085004,0.0237147451843551,0.220510263008097,0.00964772655893026,0.282333990433222,0.00589826116834878,15.7532659482881,0.714846954262001,0.988454667776223,0.00278776126304339,0.981338569779694,0.00859842942271206
High,0.5,v3: EMA-based,103.460591881644,5.14369671861289,104.988378473483,7.54800160637306,235.694487118527,11.9856999298147,489.90896648736,34.2975214511278,98.7384603401739,4.31484473654858,0.280000000000055,1.89339957462092e-14,0.015999999999928,3.88295908732198e-15,0,0,1352.2,26.8898989709271,16311.4,762.534108526738,0.923314196057799,0.00374805595549806,0.236015384083226,0.0245633789699533,0.216488369771054,0.00817963127127839,0.276113580834469,0.00645868699594964,26.1019282220254,1.2202269926316,0.989270418498785,0.00361328140894312,0.96707935592637,0.0115776348109269
